model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.314,0.276,0.3526,0.25,9.0,1.0,llama,1,logiqa,0,50,8,0,0.0625,50,0.0766
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.417,0.3664,0.47,0.31,9.4771,3.0,llama,1,logiqa,0,50,6,0,0.0961,50,0.1036
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5268,0.4578,0.5904,0.45,9.9031,8.0,llama,1,logiqa,0,50,21,0,0.2025,50,0.1326
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,logiqa,0.7494,0.6862,0.8088,0.59,10.8451,70.0,llama,1,logiqa,1,50,21,0,0.3481,50,0.1226
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3266,0.2962,0.3598,0.36,8.699,0.5,qwen,0,logiqa,0,50,29,0,0.1296,50,0.0636
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.449,0.4038,0.4964,0.46,9.1761,1.5,qwen,0,logiqa,0,50,9,0,0.2116,50,0.0926
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5544,0.492,0.6138,0.47,9.4771,3.0,qwen,0,logiqa,0,50,44,0,0.2209,50,0.1218
Qwen/Qwen2.5-7B-Instruct,logiqa,0.655,0.5894,0.723,0.5,9.8451,7.0,qwen,0,logiqa,0,50,45,0,0.25,50,0.1336
Qwen/Qwen2.5-14B-Instruct,logiqa,0.7708,0.7062,0.8326,0.62,10.1461,14.0,qwen,0,logiqa,0,50,7,0,0.3844,50,0.1264
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7736,0.7088,0.8334,0.67,10.5051,32.0,qwen,0,logiqa,0,50,2,0,0.4489,50,0.1246
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.7776,0.7136,0.8364,0.61,10.8573,72.0,qwen,0,logiqa,1,50,7,0,0.3721,50,0.1228
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.5678,0.5098,0.6304,0.65,9.0,1.0,llama,1,openbookqa,0,50,0,0,0.4225,50,0.1206
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.7638,0.6998,0.8256,0.73,9.4771,3.0,llama,1,openbookqa,0,50,1,0,0.5329,50,0.1258
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8204,0.7582,0.8794,0.8,9.9031,8.0,llama,1,openbookqa,0,50,1,0,0.64,50,0.1212
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,0.927,0.8773,0.9668,0.92,10.8451,70.0,llama,1,openbookqa,1,50,4,3,0.8464,50,0.0895
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4282,0.382,0.4822,0.45,8.699,0.5,qwen,0,openbookqa,0,50,1,0,0.2025,50,0.1002
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7492,0.6988,0.7992,0.76,9.1761,1.5,qwen,0,openbookqa,0,50,1,0,0.5776,50,0.1004
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8242,0.7678,0.8782,0.85,9.4771,3.0,qwen,0,openbookqa,0,50,37,0,0.7225,50,0.1104
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8652,0.8082,0.9166,0.88,9.8451,7.0,qwen,0,openbookqa,0,50,16,0,0.7744,50,0.1084
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9125,0.8596,0.96,0.94,10.1461,14.0,qwen,0,openbookqa,0,50,9,1,0.8836,50,0.1004
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9614,0.9232,0.9907,0.95,10.5051,32.0,qwen,0,openbookqa,0,50,0,1,0.9025,50,0.0675
